Biology,Honours Bachelor of Science,"Specialist, Minor, Major"
Biology,Honours Bachelor of Science,"Specialist, Minor, Major"
Biology for Health Sciences,Honours Bachelor of Science,Major
Biomedical Physics,Honours Bachelor of Science,Specialist
Biomedical Toxicology,Honours Bachelor of Science,"Specialist, Major"
Biotechnology,Honours Bachelor of Science,Specialist
Book and Media Studies,Honours Bachelor of Arts,"Minor, Major"
Buddhist Studies,Honours Bachelor of Arts,"Specialist, Major"
Canadian Studies,Honours Bachelor of Arts,"Minor, Major"
Canadian Studies,Honours Bachelor of Arts,"Specialist, Minor, Major"
Caribbean Studies,Honours Bachelor of Arts,"Specialist, Minor, Major"
Cell and Molecular Biology,Honours Bachelor of Science,"Specialist, Major"
Celtic Studies,Honours Bachelor of Arts,"Specialist, Minor, Major"
Chemical Engineering,Bachelor of Applied Science in Engineering Science | Bachelor of Applied Science,"Program, Minor"
Chemical Physics,Honours Bachelor of Science,Specialist
Chemistry,Honours Bachelor of Science,"Specialist, Major"
Chemistry,Honours Bachelor of Science,"Specialist, Minor, Major"
Chemistry,Honours Bachelor of Science,"Specialist, Minor, Major"
Christianity and Culture,Honours Bachelor of Arts,"Specialist, Minor, Major"
Cinema Studies,Honours Bachelor of Arts,"Specialist, Minor, Major"
City Studies,Honours Bachelor of Arts,"Specialist, Minor, Major"
Civil Engineering,Bachelor of Applied Science,Program
Classical Civilization,Honours Bachelor of Arts,"Minor, Major"
Classical Civilization,Honours Bachelor of Arts,"Minor, Major"
Classics (Greek and Latin),Honours Bachelor of Arts,Major
Cognitive Science (Arts),Honours Bachelor of Arts,Major
Cognitive Science (Science),Honours Bachelor of Science,Major
Commerce,Bachelor of Commerce | Honours Bachelor of Arts,"Specialist, Major"
"Communication, Culture, Information, and Technology",Honours Bachelor of Arts,Major
Comparative Physiology,Honours Bachelor of Science,Specialist
Computer Engineering,Bachelor of Applied Science,Program
Computer Science,Honours Bachelor of Science,"Specialist, Minor, Major"
Computer Science,Honours Bachelor of Science,"Specialist, Minor, Major"
Computer Science,Honours Bachelor of Science,"Specialist, Minor, Major"
Conservation and Biodiversity,Honours Bachelor of Science,"Specialist, Major"
Contemporary Asian Studies Program (Dr. David Chu),Honours Bachelor of Arts,"Minor, Major"
Criminology,Honours Bachelor of Arts,"Specialist, Major"
Criminology and Socio-Legal Studies,Honours Bachelor of Arts,"Specialist, Major"
Czech and Slovak Studies,Honours Bachelor of Arts,"Minor, Major"
Developmental Biology,Honours Bachelor of Science,Specialist
Diaspora and Transnational Studies,Honours Bachelor of Arts,"Minor, Major"
Diaspora and Transnational Studies,Honours Bachelor of Arts,"Minor, Major"
Diaspora and Transnational Studies,Honours Bachelor of Arts,"Minor, Major"
Digital Enterprise Management,Honours Bachelor of Arts,Specialist
Drama,Honours Bachelor of Arts,"Specialist, Minor, Major"
Earth Science,Honours Bachelor of Science,"Specialist, Minor, Major"
East Asian Studies,Honours Bachelor of Arts,"Specialist, Minor, Major"
Ecology and Evolution,Honours Bachelor of Science,Specialist
Ecology and Evolutionary Biology,Honours Bachelor of Science,"Specialist, Major"
Economics,Bachelor of Commerce | Honours Bachelor of Arts,"Specialist, Minor, Major"
Economics,Honours Bachelor of Arts,"Specialist, Minor, Major"
Economics and Mathematics,Honours Bachelor of Science,Specialist
Economics and Political Science,Honours Bachelor of Arts,Specialist
Economics for Management Studies,Bachelor of Business Administration | Honours Bachelor of Arts,"Specialist, Minor, Major"
Education,Bachelor of Education,Program
Electrical Engineering,Bachelor of Applied Science in Engineering Science | Bachelor of Applied Science,"Program, Minor"
Employment Relations,Honours Bachelor of Arts,"Specialist, Major"
Engineering Science,Bachelor of Applied Science in Engineering Science | Bachelor of Applied Science,"Program, Minor"
English,Honours Bachelor of Arts,"Specialist, Minor, Major"
English,Honours Bachelor of Arts,"Specialist, Major"
English,Honours Bachelor of Arts,"Specialist, Minor, Major"
Environment and Health,Honours Bachelor of Science,"Specialist, Major"
Environment and Toxicology,Honours Bachelor of Science,Specialist
Environmental Biology,Honours Bachelor of Science,"Minor, Major"
Environmental Biology,Honours Bachelor of Science,Specialist
Environmental Chemistry,Honours Bachelor of Science,Specialist
Environmental Chemistry,Honours Bachelor of Science,"Specialist, Minor"
Environmental Ethics,Honours Bachelor of Arts,"Minor, Major"
Environmental Geography,Honours Bachelor of Arts,"Specialist, Minor, Major"
Environmental Geoscience,Honours Bachelor of Science,Specialist
Environmental Geosciences,Honours Bachelor of Science,"Specialist, Minor, Major"
Environmental Geosciences,Honours Bachelor of Science,Specialist
Environmental Management,Honours Bachelor of Arts,"Specialist, Minor, Major"
Environmental Physics,Honours Bachelor of Science,Specialist
Environmental Science,Honours Bachelor of Science,"Minor, Major"
Environmental Science,Honours Bachelor of Science,"Specialist, Minor, Major"
Environmental Science,Honours Bachelor of Science,"Minor, Major"
Environmental Studies,Honours Bachelor of Arts,"Minor, Major"
Environmental Studies,Honours Bachelor of Arts,Major
Equity Studies,Honours Bachelor of Arts,Major
"Ethics, Society and Law",Honours Bachelor of Arts,Major
European Studies,Honours Bachelor of Arts,Major
Exceptionality in Human Learning,Honours Bachelor of Science,"Specialist, Major"
Finance and Economics,Bachelor of Commerce,Specialist
Financial Economics,Honours Bachelor of Science,Specialist
Financial Economics,Honours Bachelor of Science,Specialist
Finnish Studies,Honours Bachelor of Arts,"Minor, Major"
Forensic Science,Honours Bachelor of Science,"Specialist, Minor, Major"
Forest Biomaterials Science,Honours Bachelor of Science,"Minor, Major"
Forest Conservation (Arts),Honours Bachelor of Arts,"Specialist, Minor, Major"
Forest Conservation (Science),Honours Bachelor of Science,"Specialist, Minor, Major"
French,Honours Bachelor of Arts,"Specialist, Minor, Major"
French and Italian,Honours Bachelor of Arts,Specialist
French Language and French Linguistics,Honours Bachelor of Arts,"Specialist, Major"
French Language and Literature,Honours Bachelor of Arts,"Specialist, Major"
French Language Learning,Honours Bachelor of Arts,Major
French Studies,Honours Bachelor of Arts,"Specialist, Minor, Major"
General Physics,Honours Bachelor of Science,Major
"Genes, Genetics and Biotechnology",Honours Bachelor of Science,"Specialist, Major"
Genome Biology,Honours Bachelor of Science,Major
Geographical Information Systems,Honours Bachelor of Science,"Minor, Major"
Geography,Honours Bachelor of Science | Honours Bachelor of Arts,"Specialist, Minor, Major"
Geology,Honours Bachelor of Science,Specialist
Geology,Honours Bachelor of Science,Specialist
Geophysics,Honours Bachelor of Science,Specialist
Geoscience,Honours Bachelor of Science,"Minor, Major"
German and Ukrainian,Honours Bachelor of Arts,Specialist
German Studies,Honours Bachelor of Arts,"Specialist, Minor, Major"
Global Asia Studies,Honours Bachelor of Arts,"Specialist, Minor, Major"
Global Health,Honours Bachelor of Science,"Specialist, Major"
Greek,Honours Bachelor of Arts,"Minor, Major"
Health and Disease,Honours Bachelor of Science,"Specialist, Major"
Health Studies,Honours Bachelor of Science | Honours Bachelor of Arts,Major
Health Studies,Honours Bachelor of Arts,"Specialist, Major"
History,Honours Bachelor of Arts,"Specialist, Minor, Major"
History,Honours Bachelor of Arts,"Specialist, Minor, Major"
History,Honours Bachelor of Arts,"Specialist, Minor, Major"
History and Philosophy of Science and Technology,Honours Bachelor of Arts,"Minor, Major"
History and Political Science,Honours Bachelor of Arts,Specialist
History of Art,Honours Bachelor of Arts,"Specialist, Minor, Major"
History of Religions,Honours Bachelor of Arts,"Specialist, Minor, Major"
Human Biology,Honours Bachelor of Science,"Specialist, Major"
Human Biology,Honours Bachelor of Science,Major
Human Geography,Honours Bachelor of Arts,"Specialist, Minor, Major"
Human Geography,Honours Bachelor of Arts,"Specialist, Minor, Major"
Hungarian Studies,Honours Bachelor of Arts,"Minor, Major"
Immunology,Honours Bachelor of Science,"Specialist, Minor, Major"
Indigenous Studies,Honours Bachelor of Arts,"Specialist, Minor, Major"
Industrial Engineering,Bachelor of Applied Science,Program
Information Security,Honours Bachelor of Science,Specialist
Integrative Biology,Honours Bachelor of Science,"Specialist, Major"
Interactive Digital Media,Honours Bachelor of Arts,Specialist
International Affairs,Honours Bachelor of Arts,Specialist
International Development Studies,Honours Bachelor of Science | Honours Bachelor of Arts,"Specialist, Minor, Major"
International Relations,Honours Bachelor of Arts,"Specialist, Major"
Islamic Studies,Honours Bachelor of Arts,Major
